ID;TaskID;TaskDescription;TaskAssignDuration;TaskCostPerHour;TaskCategory;ExecutionFinishDate;ExecutionDelay (hours);ExecutionBriefDescription;FreelancerID;FreelancerName;FreelancerExpertise;FreelancerEMail;FreelancerNIF;FreelancerBanckAccout;FreelancerAddress;FreeLancerCountry
101;1;Network Administration;82;43;Software Development;12/04/2020;-9;High Quality Work;MS3;John Wayne;Junior;jw@gmail.com;213456789;US120010001234567891;Street 92, 90, New York;Luxembourg
102;2;Network Administration;59;31;Network Administration;29/03/2020;-2;Non-expert, problem unsolved;JW1;John Wayne;Junior;Marion190@hotmail.com;223654587;PT120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Portugal
103;3;Web Development;96;35;Software Development;18/01/2020;-6;Medium Quality Work, not an expert in Web development;JW1;Marion Antoine;Junior;Marion190@hotmail.com;921654987;LU120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Portugal
104;4;Mobile Application Development;52;47;Software Development;24/02/2020;10;Non-expert, problem unsolved;MS3;Marion Antoine;Senior;jw@gmail.com;921654987;LU120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;USA
105;5;Web Development;50;47;Software Development;28/03/2020;10;Medium Quality Work, not an expert in Web development;MA1;John Wayne;Junior;jw@gmail.com;921654987;PT120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Luxembourg
106;6;Network Administration;34;55;Software Development;15/02/2020;2;Medium Quality Work, not an expert in Web development;MA1;Marion Antoine;Junior;jw@gmail.com;213456789;US120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;USA
107;7;Web Development;57;33;Software Development;29/01/2020;2;High Quality Work;MA1;John Wayne;Senior;ms10@isep.ipp.pt;223654587;PT120010001234567891;Street 92, 90, New York;Portugal
108;8;Mobile Application Development;69;34;Network Administration;16/01/2020;3;High Quality Work;MS3;Marion Antoine;Senior;Marion190@hotmail.com;921654987;US120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Portugal
109;9;Web Development;68;54;Network Administration;30/04/2020;-10;Non-expert, problem unsolved;MA1;Maria Sousa;Junior;ms10@isep.ipp.pt;223654587;LU120010001234567891;Boulevard Royal, 100;Portugal
110;10;Network Administration;78;44;Software Development;12/02/2020;-8;High Quality Work;JW1;Maria Sousa;Junior;ms10@isep.ipp.pt;223654587;US120010001234567891;Boulevard Royal, 100;Portugal
111;11;Web Development;93;36;Software Development;12/03/2020;3;High Quality Work;MA1;John Wayne;Junior;jw@gmail.com;213456789;LU120010001234567891;Street 92, 90, New York;USA
112;12;Mobile Application Development;33;48;Software Development;28/04/2020;-1;High Quality Work;JW1;Marion Antoine;Senior;Marion190@hotmail.com;213456789;LU120010001234567891;Boulevard Royal, 100;USA
113;13;Web Development;88;22;Software Development;13/01/2020;5;Non-expert, problem unsolved;MS3;John Wayne;Senior;ms10@isep.ipp.pt;921654987;US120010001234567891;Street 92, 90, New York;Portugal
